Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.000000330000000,,0x3F,,Read,NAK
0.000694406000000,0,0x3F,0xFF,Read,NAK
6.010028732000000,0,0x25,0x00,Write,ACK
6.010117584000000,0,0x25,0x1A,Read,NAK
6.010247478000000,0,0x25,0x01,Write,ACK
6.010333100000000,0,0x25,0x65,Read,NAK
6.010438914000000,0,0x25,0x02,Write,ACK
6.010524752000000,0,0x25,0x72,Read,NAK
6.010634418000000,0,0x25,0x21,Write,ACK
6.010664218000000,0,0x25,0x5E,Write,ACK
6.010768270000000,0,0x25,0x22,Write,ACK
6.010798070000000,0,0x25,0x00,Write,ACK
6.010902136000000,0,0x25,0x41,Write,ACK
6.010931920000000,0,0x25,0x00,Write,ACK
6.012036220000000,0,0x25,0x01,Write,ACK
6.012122062000000,0,0x25,0x65,Read,NAK
6.012227672000000,0,0x25,0x02,Write,ACK
6.012313494000000,0,0x25,0x80,Read,NAK
6.012419016000000,0,0x25,0x51,Write,ACK
6.012504860000000,0,0x25,0x5E,Read,NAK
6.013176468000000,0,0x25,0x00,Write,ACK
6.013262510000000,0,0x25,0x1A,Read,NAK
6.013386470000000,0,0x25,0x01,Write,ACK
6.013472304000000,0,0x25,0x65,Read,NAK
6.013578028000000,0,0x25,0x02,Write,ACK
6.013663854000000,0,0x25,0x00,Read,NAK
6.013770084000000,0,0x25,0x21,Write,ACK
6.013799874000000,0,0x25,0x01,Write,ACK
6.013903918000000,0,0x25,0x22,Write,ACK
6.013933730000000,0,0x25,0x00,Write,ACK
6.014037778000000,0,0x25,0x41,Write,ACK
6.014067586000000,0,0x25,0x00,Write,ACK
6.015172610000000,0,0x25,0x01,Write,ACK
6.015258448000000,0,0x25,0x65,Read,NAK
6.015364156000000,0,0x25,0x02,Write,ACK
6.015449966000000,0,0x25,0x80,Read,NAK
6.015555606000000,0,0x25,0x51,Write,ACK
6.015641454000000,0,0x25,0x00,Read,NAK
6.015757478000000,0,0x25,0x52,Write,ACK
6.015843298000000,0,0x25,0xC5,Read,NAK
6.015965278000000,0,0x25,0x01,Write,ACK
6.016051116000000,0,0x25,0x65,Read,NAK
6.016156728000000,0,0x25,0x02,Write,ACK
6.016242564000000,0,0x25,0x00,Read,NAK
6.016348580000000,0,0x25,0x21,Write,ACK
6.016378392000000,0,0x25,0x06,Write,ACK
6.016482428000000,0,0x25,0x22,Write,ACK
6.016512224000000,0,0x25,0x3F,Write,ACK
6.016616286000000,0,0x25,0x41,Write,ACK
6.016646024000000,0,0x25,0x00,Write,ACK
6.017750286000000,0,0x25,0x01,Write,ACK
6.017836126000000,0,0x25,0x65,Read,NAK
6.017941734000000,0,0x25,0x02,Write,ACK
6.018027548000000,0,0x25,0x80,Read,NAK
6.018133186000000,0,0x25,0x51,Write,ACK
6.018219020000000,0,0x25,0x06,Read,NAK
6.018349724000000,0,0x25,0x01,Write,ACK
6.018435550000000,0,0x25,0x65,Read,NAK
6.018541186000000,0,0x25,0x02,Write,ACK
6.018627010000000,0,0x25,0x00,Read,NAK
6.018733036000000,0,0x25,0x21,Write,ACK
6.018762836000000,0,0x25,0x05,Write,ACK
6.018866992000000,0,0x25,0x22,Write,ACK
6.018896770000000,0,0x25,0x00,Write,ACK
6.019000832000000,0,0x25,0x41,Write,ACK
6.019030626000000,0,0x25,0x00,Write,ACK
6.020134734000000,0,0x25,0x01,Write,ACK
6.020220572000000,0,0x25,0x65,Read,NAK
6.020326178000000,0,0x25,0x02,Write,ACK
6.020382112000000,,0x25,,Read,NAK
6.020408788000000,0,0x25,0x40,Read,ACK
6.020517624000000,0,0x25,0x51,Write,ACK
6.020603468000000,0,0x25,0x05,Read,NAK
6.020718654000000,0,0x25,0x52,Write,ACK
6.020804502000000,0,0x25,0x3F,Read,NAK
6.020918954000000,0,0x25,0x08,Write,ACK
6.021004772000000,0,0x25,0x81,Read,NAK
6.021117904000000,0,0x25,0x08,Write,ACK
6.021203712000000,0,0x25,0x81,Read,NAK
6.021316740000000,0,0x25,0x02,Write,ACK
6.021402590000000,0,0x25,0x00,Read,NAK
6.021508090000000,0,0x25,0x06,Write,ACK
6.021593932000000,0,0x25,0x27,Read,NAK
6.021699846000000,0,0x25,0x0D,Write,ACK
6.021785688000000,0,0x25,0x47,Read,NAK
6.021905254000000,0,0x25,0x01,Write,ACK
6.021991092000000,0,0x25,0x65,Read,NAK
6.022096816000000,0,0x25,0x08,Write,ACK
6.022182624000000,0,0x25,0x81,Read,NAK
6.023976596000000,0,0x36,0x18,Write,ACK
6.024062740000000,0,0x36,0xB8,Read,ACK
6.024092220000000,0,0x36,0x0B,Read,NAK
6.024225020000000,0,0x25,0x02,Write,ACK
6.024310970000000,0,0x25,0x00,Read,NAK
6.024442196000000,0,0x25,0x06,Write,ACK
6.024528030000000,0,0x25,0x27,Read,NAK
6.024634184000000,0,0x25,0x0D,Write,ACK
6.024720000000000,0,0x25,0x47,Read,NAK
6.024839152000000,0,0x25,0x01,Write,ACK
6.024924986000000,0,0x25,0x65,Read,NAK
6.025030698000000,0,0x25,0x08,Write,ACK
6.025116518000000,0,0x25,0x81,Read,NAK
6.025233624000000,0,0x25,0x08,Write,ACK
6.025319410000000,0,0x25,0x81,Read,NAK
6.025425258000000,0,0x25,0x06,Write,ACK
6.025511114000000,0,0x25,0x27,Read,NAK
6.025616724000000,0,0x25,0x0D,Write,ACK
6.025702560000000,0,0x25,0x47,Read,NAK
6.025868470000000,0,0x25,0x01,Write,ACK
6.025954310000000,0,0x25,0x65,Read,NAK
